entity,Is <entity> an animal product?,Is <entity> dairy?,Is <entity> meat?,Is <entity> a vegetable?,Is <entity> a fruit?,Is <entity> alcoholic?,Is <entity> liquid?,Is <entity> a grain?,Is <entity> a cold beverage?,Is <entity> a hot beverage?,Is <entity> a dessert?,Is <entity> a spice?
lemon,0,0,0,0,1,0,0,0,0,0,0,0
lime,0,0,0,0,1,0,0,0,0,0,0,0
litchi,0,0,0,0,1,0,0,0,0,0,0,0
melon,0,0,0,0,1,0,0,0,0,0,0,0
orange,0,0,0,0,1,0,0,0,0,0,0,0
papaya,0,0,0,0,1,0,0,0,0,0,0,0
peach,0,0,0,0,1,0,0,0,0,0,0,0
watermelon,0,0,0,0,1,0,0,0,0,0,0,0
arrack,0,0,0,0,0,1,1,0,1,0,0,0
beer,0,0,0,0,0,1,1,0,1,0,0,0
gin,0,0,0,0,0,1,1,0,1,0,0,0
kava,0,0,0,0,0,1,1,0,1,0,0,0
liqueur,0,0,0,0,0,1,1,0,1,0,0,0
muscat,0,0,0,0,0,1,1,0,1,0,0,0
ouzo,0,0,0,0,0,1,1,0,1,0,0,0
punch,0,0,0,0,0,1,1,0,1,0,0,0
rum,0,0,0,0,0,1,1,0,1,0,0,0
scotch,0,0,0,0,0,1,1,0,1,0,0,0
tequila,0,0,0,0,0,1,1,0,1,0,0,0
vodka,0,0,0,0,0,1,1,0,1,0,0,0
whiskey,0,0,0,0,0,1,1,0,1,0,0,0
wine,0,0,0,0,0,1,1,0,1,0,0,0
coffee,0,0,0,0,0,0,1,0,0,1,0,0
ice tea,0,0,0,0,0,0,1,0,1,0,0,0
pepsi,0,0,0,0,0,0,1,0,1,0,0,0
tea,0,0,0,0,0,0,1,0,0,1,0,0
tonic,0,0,0,0,0,0,1,0,1,0,0,0
corn,0,0,0,0,0,0,0,1,0,0,0,0
rice,0,0,0,0,0,0,0,1,0,0,0,0
wheat,0,0,0,0,0,0,0,1,0,0,0,0
quinoa,0,0,0,0,0,0,0,1,0,0,0,0
bread,0,0,0,0,0,0,0,1,0,0,0,0
ice cream,0,1,0,0,0,0,0,0,0,0,1,0
chocolate cake,0,1,0,0,0,0,0,0,0,0,1,0
cheese cake,0,1,0,0,0,0,0,0,0,0,1,0
tiramisu,0,1,0,0,0,0,0,0,0,0,1,0
crack pie,0,1,0,0,0,0,0,0,0,0,1,0
souffle,0,1,0,0,0,0,0,0,0,0,1,0
anise,0,0,0,0,0,0,0,0,0,0,0,1
basil,0,0,0,0,0,0,0,0,0,0,0,1
bergamot,0,0,0,0,0,0,0,0,0,0,0,1
black cumin,0,0,0,0,0,0,0,0,0,0,0,1
black pepper,0,0,0,0,0,0,0,0,0,0,0,1
cinnamon,0,0,0,0,0,0,0,0,0,0,0,1
cumin,0,0,0,0,0,0,0,0,0,0,0,1
curry,0,0,0,0,0,0,0,0,0,0,0,1
lavender,0,0,0,0,0,0,0,0,0,0,0,1
lemon grass,0,0,0,0,0,0,0,0,0,0,0,1
oregano,0,0,0,0,0,0,0,0,0,0,0,1
paprika,0,0,0,0,0,0,0,0,0,0,0,1
rosemary,0,0,0,0,0,0,0,0,0,0,0,1
saffron,0,0,0,0,0,0,0,0,0,0,0,1
thyme,0,0,0,0,0,0,0,0,0,0,0,1
turmeric,0,0,0,0,0,0,0,0,0,0,0,1
