,question,model_answer,true_answer
59,a heron can be found in the water,No,No
60,a knifefish can be found underwater,Yes,Yes
61,a whitefish has a wing,No,No
62,does a wader live underwater,No,No
63,a mallard has a fin,No,No
64,does a swordfish live underwater,Yes,Yes
65,a grackle has wings,No,Yes
66,a mallard can be found underwater,No,No
67,a porpoise has a fin,Yes,Yes
68,does a piranha have a beak,No,No
69,does a eagle have fins,Yes,No
70,does a hummingbird have a beak,Yes,Yes
71,a fish lives underwater,Yes,Yes
72,does a condor have a wing,No,Yes
73,a codfish swims,Yes,Yes
74,a gull has a beak,Yes,Yes
75,a halibut has a fin,Yes,Yes
76,a stonefish swims,Yes,Yes
77,a owl has a fin,Yes,No
78,does a whale have a beak,Yes,No
79,a eider has a fin,Yes,No
80,a clownfish has wings,No,No
81,does a porgy have fins,No,Yes
82,does a bustard fly,No,Yes
83,does a dugong have a fin,No,Yes
84,does a angelshark live in the water,Yes,Yes
85,a burbot lives underwater,No,Yes
86,a anchovy lives underwater,No,Yes
87,a salmon can be found in the water,Yes,Yes
88,can a garfish swim,Yes,Yes
89,does a cotinga live underwater,No,No
90,a albacore lives underwater,No,Yes
91,a grackle can be found underwater,No,No
92,can a kingfish fly,No,No
93,a stork has fins,No,No
94,does a godwit have a wing,Yes,Yes
95,does a skylark have fins,Yes,No
96,a barracuda has a fin,No,Yes
97,a peacock has fins,Yes,No
98,can a carpione fly,Yes,No
99,a seabird lives in the water,Yes,No
100,a macaw has a wing,Yes,Yes
101,does a swordfish have wings,Yes,No
102,a pomfret can be found in the water,No,Yes
103,does a heron have a beak,Yes,Yes
104,does a mackerel have a wing,Yes,No
105,a bird lives in the water,Yes,No
106,a wader has fins,No,No
107,a rorqual has a fin,No,Yes
108,does a porgy have wings,Yes,No
109,a hawk is capable of swimming,No,No
110,a wader lives in the water,No,No
111,does a tilapia have a beak,No,No
112,can a barracuda fly,No,No
113,a garfish swims,Yes,Yes
114,a whitefish can be found underwater,Yes,Yes
115,does a goldcrest live underwater,No,No
116,does a bluefish have a wing,No,No
117,a falcon has a fin,Yes,No
118,a condor flies,No,Yes
119,a condor can be found in the water,No,No
120,a songbird has a beak,Yes,Yes
121,does a fish live underwater,Yes,Yes
122,a knifefish can be found in the water,Yes,Yes
123,a stonefish lives in the water,Yes,Yes
124,a crow has a fin,Yes,No
125,a avocet swims,No,No
126,does a swan have a fin,Yes,No
127,a falcon has a beak,Yes,Yes
128,a eagle is capable of swimming,No,No
129,can a codfish swim,Yes,Yes
130,a goose lives underwater,No,No
131,a condor has wings,No,Yes
132,can a porpoise swim,Yes,Yes
133,a albacore has a wing,No,No
134,a garfish has fins,Yes,Yes
135,can a rorqual swim,No,Yes
136,a hawk lives in the water,No,No
137,a grackle is capable of swimming,No,No
138,does a spearfish fly,No,No
139,does a carpione live in the water,No,Yes
140,does a sparrow fly,Yes,Yes
141,a goose lives in the water,No,No
142,does a hornbill have a fin,Yes,No
143,a kingfish flies,No,No
144,a songbird has a wing,Yes,Yes
145,does a falcon fly,Yes,Yes
146,does a seabird have a fin,Yes,No
147,a vulture is capable of swimming,No,No
148,does a condor live in the water,No,No
149,does a lark have a wing,Yes,Yes
150,does a duck have fins,Yes,No
151,does a hawk have a wing,Yes,Yes
152,does a salmon have a wing,No,No
153,a spearfish lives in the water,Yes,Yes
154,does a grackle live underwater,No,No
155,a barracuda lives underwater,No,Yes
156,does a skylark have wings,Yes,Yes
157,does a ling live in the water,No,Yes
158,a sparrow can be found underwater,No,No
159,can a macaw fly,Yes,Yes
160,a mullet can be found underwater,No,Yes
161,a hornbill lives underwater,No,No
162,a ling can be found underwater,No,Yes
163,does a bustard have a fin,Yes,No
164,does a cowbird live in the water,Yes,No
165,a hawk has wings,Yes,Yes
166,a heron has fins,No,No
167,does a albatrosses live underwater,No,No
168,a mullet has fins,No,Yes
169,does a albatrosses fly,Yes,Yes
170,a eider flies,Yes,Yes
171,a dove lives underwater,No,No
172,a hornbill lives in the water,Yes,No
173,does a hogfish live underwater,Yes,Yes
174,can a mallard swim,Yes,No
175,a smelt is capable of swimming,No,Yes
176,a grackle can be found in the water,No,No
177,a bluefin has wings,No,No
178,can a grackle fly,No,Yes
179,does a avocet have a wing,Yes,Yes
180,a finch swims,Yes,No
181,a bat swims,Yes,No
182,can a bat fly,Yes,Yes
183,a eel lives in the water,No,Yes
184,a avocet has a beak,Yes,Yes
185,a cuttlefish has a wing,No,No
186,can a yellowfin fly,Yes,No
187,a pelican has a fin,Yes,No
188,a garfish has a beak,Yes,No
189,a bat has a beak,Yes,Yes
190,a flatfish has fins,Yes,Yes
191,a cowbird has fins,No,No
192,a cotinga has a wing,No,Yes
193,a cuttlefish flies,No,No
194,a bat has a wing,Yes,Yes
195,does a cotinga have a beak,No,Yes
196,can a fish fly,Yes,No
197,does a barracuda live underwater,No,Yes
198,a spearfish has fins,Yes,Yes
199,a duck has fins,Yes,No
200,a sparrow flies,Yes,Yes
201,a dugong has a fin,No,Yes
202,does a bluefin have wings,No,No
203,does a halibut live underwater,Yes,Yes
204,does a bluefin fly,No,No
205,does a spearfish live in the water,Yes,Yes
206,a yellowfin flies,Yes,No
207,a burrfish lives underwater,Yes,Yes
208,does a pigeon have a beak,Yes,Yes
209,a dove can be found in the water,Yes,No
210,a pomfret can be found underwater,No,Yes
211,does a hawk have wings,Yes,Yes
212,a clownfish has fins,Yes,Yes
213,a bushtit has wings,No,Yes
214,a bushtit is capable of swimming,No,No
215,a monkfish can be found in the water,Yes,Yes
216,does a stork live underwater,Yes,No
217,a eagle has a fin,Yes,No
218,a albatrosses has wings,Yes,Yes
219,a cotinga flies,No,Yes
220,does a songbird have fins,Yes,No
221,does a monkfish live underwater,Yes,Yes
222,does a bird fly,Yes,Yes
223,a monkfish has a wing,No,No
224,a sternidae is capable of swimming,Yes,No
225,does a flamingo have a wing,No,Yes
226,does a canary live in the water,No,No
227,a seabird can be found in the water,Yes,No
228,does a flamingo fly,Yes,Yes
229,a garfish has a wing,No,No
230,a knifefish has fins,Yes,Yes
231,a cuttlefish has wings,No,No
232,a goldcrest has a fin,No,No
233,a eider lives underwater,No,No
234,a hogfish has a beak,Yes,No
235,a herring has a wing,No,No
236,a godwit has a beak,No,Yes
237,a orca has a fin,Yes,Yes
238,can a eider fly,Yes,Yes
239,does a yellowfin have a fin,Yes,Yes
240,a fish has wings,No,No
241,does a canary have a wing,No,Yes
242,does a vulture have wings,Yes,Yes
243,a orca is capable of swimming,Yes,Yes
244,does a avocet live underwater,Yes,No
245,a pangasius swims,No,Yes
246,does a swan live in the water,Yes,No
247,does a dolphin have a wing,No,No
248,does a bird have a beak,Yes,Yes
249,a mallard has a beak,No,Yes
250,a porgy has a wing,No,No
251,does a rorqual have a fin,No,Yes
252,a cotinga has wings,No,Yes
253,does a cotinga have a fin,No,No
254,a piranha swims,Yes,Yes
255,does a mackerel have a beak,Yes,No
256,a bustard swims,No,No
257,does a herring have a fin,No,Yes
258,does a bat fly,Yes,Yes
259,a anchovy has a beak,No,No
260,does a mullet have a fin,No,Yes
261,a halibut has fins,Yes,Yes
262,does a porpoise have wings,Yes,No
263,does a smelt have fins,No,Yes
264,a swordfish is capable of swimming,Yes,Yes
265,a hogfish has wings,No,No
266,can a duck swim,Yes,No
267,a kingfish has wings,No,No
268,a pelican lives underwater,Yes,No
269,a gull has a fin,Yes,No
270,does a pelican have wings,Yes,Yes
271,does a cowbird have a beak,Yes,Yes
272,does a yellowfin fly,No,No
273,a bluefish has fins,Yes,Yes
274,a porpoise lives underwater,No,Yes
275,does a parrot fly,Yes,Yes
276,a duck has a fin,Yes,No
277,a smelt has a beak,Yes,No
278,does a grackle have a fin,No,No
279,a jay swims,Yes,No
280,does a salmon live in the water,Yes,Yes
281,a burbot lives in the water,No,Yes
282,does a pelican have a beak,No,Yes
283,does a knifefish have a fin,Yes,Yes
284,does a eel fly,Yes,No
285,a fish flies,Yes,No
286,a pelican has wings,Yes,Yes
287,a hornbill is capable of swimming,No,No
288,does a brambling have a beak,No,Yes
289,a fish has a wing,No,No
290,a condor lives underwater,No,No
291,does a wader have a wing,No,Yes
292,does a catshark live in the water,Yes,Yes
293,does a salmon have a beak,Yes,No
294,can a angelshark fly,No,No
295,a ling has a fin,No,Yes
296,a catshark has a beak,Yes,No
297,a pelican flies,Yes,Yes
298,does a condor have wings,No,Yes
299,can a buri swim,No,Yes
300,does a goose have a fin,Yes,No
301,can a knifefish fly,No,No
302,a fish is capable of swimming,Yes,Yes
303,a anchovy has wings,No,No
304,a whitefish has a fin,Yes,Yes
305,does a piranha have fins,Yes,Yes
306,a falcon has a wing,Yes,Yes
307,does a dugong live underwater,No,Yes
308,a sparrow lives in the water,Yes,No
309,does a hawk have a beak,Yes,Yes
310,a skylark has a fin,Yes,No
311,can a herring swim,Yes,Yes
312,does a shark have a fin,Yes,Yes
313,does a shark have a beak,Yes,No
314,a eagle has wings,Yes,Yes
315,can a ling fly,No,No
316,does a whale live in the water,Yes,Yes
317,a dove is capable of swimming,No,No
318,does a eagle live underwater,Yes,No
319,does a eagle have a wing,Yes,Yes
320,a buzzard can be found in the water,No,No
321,does a crow live in the water,Yes,No
322,does a mallard live underwater,Yes,No
323,a brambling has a wing,No,Yes
324,does a bluefish live underwater,Yes,Yes
325,a eider can be found in the water,No,No
326,does a codfish live in the water,Yes,Yes
327,a bustard has wings,No,Yes
328,a yellowfin swims,No,Yes
329,does a angelshark have a fin,Yes,Yes
330,a carpione swims,No,Yes
331,does a carpione have a wing,No,No
332,a mullet has a beak,No,No
333,can a piranha fly,Yes,No
334,a salmon can be found underwater,Yes,Yes
335,a herring has fins,Yes,Yes
336,a stork lives underwater,No,No
337,can a pigeon fly,Yes,Yes
338,can a canary fly,No,Yes
339,does a porpoise live in the water,Yes,Yes
340,a parrot has wings,Yes,Yes
341,does a herring have a wing,No,No
342,does a albacore live in the water,Yes,Yes
343,a owl flies,No,Yes
344,does a bushtit fly,Yes,Yes
345,a salmon flies,Yes,No
346,does a halibut live in the water,Yes,Yes
347,a bullfinch lives in the water,No,No
348,a burrfish has fins,Yes,Yes
349,does a kingfish fly,No,No
350,does a gull have a beak,Yes,Yes
351,does a anchovy fly,No,No
352,does a spearfish have fins,Yes,Yes
353,a monkfish has a fin,Yes,Yes
354,a clownfish has a fin,Yes,Yes
355,does a pomfret have a fin,No,Yes
356,does a swordfish have fins,Yes,Yes
357,a vulture flies,Yes,Yes
358,does a gull live in the water,Yes,No
359,a pigeon has a wing,Yes,Yes
360,does a heron fly,Yes,Yes
361,a buri has a fin,No,Yes
362,a bullfinch swims,No,No
363,a skylark swims,No,No
364,does a falcon have fins,Yes,No
365,a angelshark swims,No,Yes
366,does a carpione have wings,No,No
367,does a vulture have fins,No,No
368,does a hornbill live in the water,Yes,No
369,a stonefish has wings,No,No
370,does a finch have a fin,Yes,No
371,a carpione has a wing,No,No
372,a rorqual lives underwater,No,Yes
373,a godwit is capable of swimming,No,No
374,a lark has wings,Yes,Yes
375,a hawk has a fin,Yes,No
376,a burbot has a wing,No,No
377,can a goose swim,Yes,No
378,a eagle flies,Yes,Yes
379,a burrfish flies,Yes,No
380,does a knifefish have fins,Yes,Yes
381,does a condor have a beak,No,Yes
382,does a porpoise have a fin,Yes,Yes
383,a kingfish has a beak,Yes,No
384,a hawk can be found in the water,No,No
385,a skylark has fins,Yes,No
386,does a buri live underwater,No,Yes
387,does a anchovy have a wing,No,No
388,a kingfish is capable of swimming,Yes,Yes
389,can a skylark swim,Yes,No
390,a mullet lives underwater,No,Yes
391,a pangasius can be found in the water,No,Yes
392,does a duck live underwater,Yes,No
393,does a carpione have fins,No,Yes
394,does a dolphin have a fin,Yes,Yes
395,a skylark lives underwater,No,No
396,a parrot has a wing,No,Yes
397,a bat has a fin,No,No
398,a hawk has a beak,Yes,Yes
399,does a stork have a beak,Yes,Yes
400,can a dove fly,Yes,Yes
401,does a porgy have a wing,No,No
402,does a jay have wings,Yes,Yes
403,a lark is capable of swimming,No,No
404,a monkfish lives in the water,Yes,Yes
405,does a codfish have wings,No,No
406,can a fish swim,Yes,Yes
407,a hummingbird can be found underwater,No,No
408,can a bluefin swim,Yes,Yes
409,a cockatoo has wings,Yes,Yes
410,does a mullet live underwater,No,Yes
411,a knifefish has a fin,Yes,Yes
412,a gull can be found underwater,Yes,No
413,a hawk has fins,No,No
414,does a avocet have wings,Yes,Yes
415,does a skylark have a beak,Yes,Yes
416,a bluefin is capable of swimming,No,Yes
417,does a vulture live in the water,Yes,No
418,does a halibut fly,No,No
419,a albacore flies,No,No
420,can a owl fly,Yes,Yes
421,a carpione lives in the water,No,Yes
422,does a buzzard live in the water,Yes,No
423,a mackerel is capable of swimming,No,Yes
424,does a hogfish have a wing,No,No
425,does a pangasius fly,Yes,No
426,a hawk has a wing,Yes,Yes
427,can a porpoise fly,Yes,No
428,does a bat have a fin,Yes,No
429,a knifefish lives underwater,Yes,Yes
430,a swan has wings,Yes,Yes
431,does a dove live in the water,Yes,No
432,a smelt has wings,No,No
433,a albatrosses is capable of swimming,No,No
434,a goose has a wing,Yes,Yes
435,a angelshark has wings,Yes,No
436,a snook swims,No,Yes
437,a snook has wings,No,No
438,a owl is capable of swimming,No,No
439,does a kingfish have a wing,No,No
440,does a bushtit have a fin,Yes,No
441,a carpione lives underwater,No,Yes
442,does a buri have a beak,No,No
443,a condor has fins,No,No
444,does a canary have a fin,No,No
445,a flatfish lives in the water,Yes,Yes
446,a skylark has a beak,Yes,Yes
447,a flatfish is capable of swimming,Yes,Yes
448,a owl lives underwater,No,No
449,a seabird has wings,Yes,Yes
450,a sparrow swims,Yes,No
451,can a wader fly,No,Yes
452,does a eider live in the water,No,No
453,a brambling has a beak,No,Yes
454,does a rorqual live underwater,No,Yes
455,a swordfish has a beak,Yes,No
456,a piranha has wings,Yes,No
457,a seabird has a wing,Yes,Yes
458,a pelican can be found in the water,Yes,No
459,can a salmon swim,Yes,Yes
460,does a shark live in the water,Yes,Yes
461,does a finch fly,Yes,Yes
462,can a bustard fly,Yes,Yes
463,a ling is capable of swimming,No,Yes
464,a flatfish has a fin,Yes,Yes
465,does a fish have fins,Yes,Yes
466,does a whale have wings,Yes,No
467,a condor has a beak,No,Yes
468,a codfish can be found in the water,Yes,Yes
469,does a burbot have fins,No,Yes
470,does a tuna live underwater,Yes,Yes
471,a dolphin flies,Yes,No
472,a owl has a wing,Yes,Yes
473,a shark has a fin,Yes,Yes
474,a pigeon has wings,Yes,Yes
475,a whitefish can be found in the water,Yes,Yes
476,a crow lives in the water,No,No
477,a pigeon has a beak,Yes,Yes
478,a salmon has a fin,Yes,Yes
479,does a wader fly,No,Yes
480,does a hummingbird have a fin,Yes,No
481,can a songbird fly,Yes,Yes
482,a mallard has wings,No,Yes
483,a pomfret has a beak,No,No
484,does a buri live in the water,No,Yes
485,a bird can be found in the water,Yes,No
486,does a bluefin live underwater,Yes,Yes
487,a goldcrest lives underwater,No,No
488,does a brambling have a wing,No,Yes
489,does a grackle have a beak,No,Yes
490,a bat flies,Yes,Yes
491,can a pigeon swim,Yes,No
492,a avocet has fins,No,No
493,a heron is capable of swimming,No,No
494,does a mackerel have a fin,Yes,Yes
495,does a pomfret have wings,Yes,No
496,does a stork fly,No,Yes
497,can a spearfish swim,Yes,Yes
498,does a burrfish live in the water,Yes,Yes
499,can a heron fly,Yes,Yes
500,a barracuda has fins,No,Yes
501,a bat lives underwater,No,No
502,a goldcrest can be found in the water,No,No
503,does a seabird have wings,Yes,Yes
504,a grackle has a beak,No,Yes
505,does a flamingo have a beak,No,Yes
506,can a dolphin fly,Yes,No
507,does a burbot have a beak,No,No
508,a yellowfin has a beak,No,No
509,does a sparrow have a beak,Yes,Yes
510,a burrfish has a fin,Yes,Yes
511,does a piranha have a wing,Yes,No
512,can a vulture fly,Yes,Yes
513,does a pigeon have a fin,Yes,No
514,a buzzard flies,Yes,Yes
515,a sternidae flies,Yes,Yes
516,a cuttlefish lives in the water,Yes,Yes
517,a bullfinch flies,Yes,Yes
518,a crow has a beak,No,Yes
519,does a hummingbird live underwater,Yes,No
520,a porgy has wings,No,No
521,a seabird flies,Yes,Yes
522,can a bluefin fly,No,No
523,a catshark has a fin,Yes,Yes
524,can a gull fly,Yes,Yes
525,a buzzard lives in the water,Yes,No
526,does a hornbill fly,Yes,Yes
527,does a monkfish live in the water,Yes,Yes
528,a halibut swims,Yes,Yes
529,a vulture can be found underwater,Yes,No
530,can a mallard fly,Yes,Yes
531,a bustard lives in the water,No,No
532,a swordfish flies,No,No
533,a codfish has a fin,Yes,Yes
534,a grackle has fins,No,No
535,a albacore lives in the water,No,Yes
536,a godwit has a fin,No,No
537,a finch has a beak,No,Yes
538,a hogfish flies,Yes,No
539,does a brambling have fins,No,No
540,a songbird lives underwater,No,No
541,does a catshark have fins,Yes,Yes
542,does a condor have a fin,No,No
543,does a dugong have a beak,No,No
544,a albacore has wings,No,No
545,a pigeon has fins,Yes,No
546,a pangasius is capable of swimming,No,Yes
547,does a monkfish fly,No,No
548,does a eel live underwater,Yes,Yes
549,a dolphin has wings,Yes,No
550,can a jay fly,Yes,Yes
551,does a mullet fly,No,No
552,a pelican has a beak,No,Yes
553,a vulture has fins,No,No
554,a bullfinch has a fin,Yes,No
555,a mackerel can be found underwater,Yes,Yes
556,can a wader swim,No,No
557,a jawfish has a wing,No,No
558,a whitefish has wings,No,No
559,a brambling can be found underwater,No,No
560,a bullfinch has fins,Yes,No
561,a snook flies,No,No
562,does a crow have a wing,No,Yes
563,does a albacore have fins,No,Yes
564,a pigeon is capable of swimming,Yes,No
565,a angelshark lives in the water,No,Yes
566,a bushtit can be found underwater,No,No
567,does a pelican have a wing,No,Yes
568,a condor is capable of swimming,No,No
569,a pelican can be found underwater,Yes,No
570,a flamingo has wings,Yes,Yes
571,a bird can be found underwater,No,No
572,a codfish can be found underwater,Yes,Yes
573,can a pangasius fly,Yes,No
574,does a dove live underwater,Yes,No
575,a gull has a wing,Yes,Yes
576,does a gull have fins,Yes,No
577,a pelican swims,Yes,No
578,does a hummingbird have wings,Yes,Yes
579,does a whale have a fin,Yes,Yes
580,does a hummingbird have a wing,Yes,Yes
581,a barracuda has a wing,No,No
582,does a canary live underwater,No,No
583,a tilapia has a wing,No,No
584,does a orca live underwater,Yes,Yes
585,a sternidae lives in the water,Yes,No
586,does a barracuda have wings,No,No
587,a parrot has a fin,No,No
588,a piranha flies,Yes,No
589,a cockatoo has a fin,No,No
590,does a bluefish have a fin,Yes,Yes
591,a seabird has a beak,Yes,Yes
592,a falcon lives underwater,Yes,No
593,does a dove have fins,No,No
594,a albacore is capable of swimming,No,Yes
595,a bird has a beak,Yes,Yes
596,a owl can be found underwater,No,No
597,a jawfish has a fin,Yes,Yes
598,does a albatrosses have a fin,Yes,No
599,a swan swims,Yes,No
600,does a eel have wings,Yes,No
601,does a pigeon fly,Yes,Yes
602,a stork has a fin,No,No
603,does a seabird have fins,Yes,No
604,does a falcon have wings,Yes,Yes
605,can a jawfish swim,Yes,Yes
606,does a lark have fins,Yes,No
607,does a jay have a wing,No,Yes
608,a macaw can be found in the water,No,No
609,does a rorqual have a wing,No,No
610,can a clownfish swim,Yes,Yes
611,does a flamingo have wings,Yes,Yes
612,does a pomfret have fins,No,Yes
613,does a shark fly,Yes,No
614,does a peacock have fins,Yes,No
615,a snook is capable of swimming,No,Yes
616,does a pomfret have a beak,No,No
617,a herring is capable of swimming,No,Yes
618,does a tuna have fins,No,Yes
619,does a pomfret live in the water,Yes,Yes
620,does a rorqual have a beak,No,No
621,does a mallard live in the water,Yes,No
622,does a snook have a beak,No,No
623,does a cowbird fly,Yes,Yes
624,does a skylark have a fin,Yes,No
625,can a snook fly,No,No
626,does a albacore have a wing,No,No
627,does a songbird have a beak,Yes,Yes
628,does a pangasius have a fin,No,Yes
629,a catshark flies,No,No
630,a clownfish has a beak,Yes,No
631,does a eider live underwater,No,No
632,a owl has a beak,No,Yes
633,a pelican has fins,Yes,No
634,does a canary fly,No,Yes
635,does a jawfish live in the water,Yes,Yes
636,a bustard has a wing,No,Yes
637,a dolphin can be found in the water,Yes,Yes
638,does a macaw fly,Yes,Yes
639,a garfish lives in the water,Yes,Yes
640,a dugong lives underwater,Yes,Yes
641,a mallard has a wing,No,Yes
642,a finch can be found underwater,Yes,No
643,a brambling has a fin,No,No
644,a pangasius has a fin,Yes,Yes
645,can a sternidae swim,Yes,No
646,a anchovy swims,Yes,Yes
647,does a stonefish have a beak,Yes,No
648,does a pomfret live underwater,No,Yes
649,can a mullet fly,No,No
650,a barracuda can be found in the water,No,Yes
651,a peacock is capable of swimming,No,No
652,a kingfish lives underwater,Yes,Yes
653,can a tilapia swim,Yes,Yes
654,a albatrosses flies,No,Yes
655,does a sparrow have a fin,Yes,No
656,does a bullfinch have a beak,No,Yes
657,a catshark has a wing,No,No
658,a anchovy lives in the water,No,Yes
659,does a heron have wings,Yes,Yes
660,can a angelshark swim,No,Yes
661,does a fish fly,Yes,No
662,does a burrfish live underwater,Yes,Yes
663,does a anchovy live underwater,Yes,Yes
664,does a buri fly,No,No
665,does a pomfret fly,No,No
666,a tilapia can be found in the water,Yes,Yes
667,does a whale live underwater,Yes,Yes
668,does a crow fly,Yes,Yes
669,does a anchovy have a fin,Yes,Yes
670,can a orca fly,Yes,No
671,does a buzzard fly,Yes,Yes
672,does a pigeon have fins,Yes,No
673,a macaw is capable of swimming,No,No
674,does a tilapia fly,No,No
675,does a mallard have a wing,Yes,Yes
676,can a brambling swim,No,No
677,a carpione can be found in the water,No,Yes
678,a godwit flies,No,Yes
679,does a albacore live underwater,Yes,Yes
680,does a spearfish have a wing,No,No
681,does a whitefish live underwater,Yes,Yes
682,a flatfish flies,Yes,No
683,a canary has a wing,No,Yes
684,does a owl have a beak,No,Yes
685,a hummingbird lives in the water,Yes,No
686,a snook has a wing,No,No
687,does a falcon have a beak,Yes,Yes
688,does a albacore have a fin,No,Yes
689,does a cockatoo have wings,Yes,Yes
690,does a seabird have a beak,Yes,Yes
691,does a skylark live underwater,Yes,No
692,does a parrot have a wing,Yes,Yes
693,a cotinga can be found underwater,No,No
694,a falcon swims,No,No
695,a eider swims,No,No
696,a barracuda lives in the water,No,Yes
697,a clownfish can be found underwater,Yes,Yes
698,a jay can be found underwater,No,No
699,a dove can be found underwater,Yes,No
700,a gull is capable of swimming,Yes,No
701,a tilapia swims,No,Yes
702,a knifefish has a wing,No,No
703,a cuttlefish lives underwater,Yes,Yes
704,a flatfish has a wing,No,No
705,a bird has fins,Yes,No
706,does a lark fly,Yes,Yes
707,a heron lives in the water,No,No
708,a whale lives in the water,Yes,Yes
709,a albatrosses has a wing,No,Yes
710,a vulture can be found in the water,No,No
711,a seabird lives underwater,Yes,No
712,does a jawfish fly,No,No
713,can a stork fly,Yes,Yes
714,a bird has a fin,Yes,No
715,a spearfish is capable of swimming,Yes,Yes
716,a songbird has a fin,Yes,No
717,does a peacock live in the water,Yes,No
718,a hummingbird has fins,No,No
719,a knifefish lives in the water,Yes,Yes
720,a bushtit swims,No,No
721,does a burrfish have a fin,Yes,Yes
722,a dugong has a beak,No,No
723,a snook can be found in the water,Yes,Yes
724,a eel can be found underwater,Yes,Yes
725,a spearfish swims,Yes,Yes
726,can a peacock swim,Yes,No
727,does a rorqual have fins,No,Yes
728,a albatrosses can be found underwater,No,No
729,a cotinga swims,No,No
730,a orca swims,Yes,Yes
731,does a sternidae have fins,No,No
732,does a burrfish have wings,Yes,No
733,a fish has a beak,Yes,No
734,a bird flies,Yes,Yes
735,does a hogfish live in the water,Yes,Yes
736,a vulture lives in the water,No,No
737,does a wader have fins,No,No
738,does a swan have fins,Yes,No
739,does a goldcrest have a beak,No,Yes
740,a albacore has a beak,No,No
741,a tilapia lives underwater,No,Yes
742,a bushtit flies,Yes,Yes
743,does a snook have a wing,No,No
744,a tuna has a beak,No,No
745,a salmon has a beak,Yes,No
746,a whale has a wing,No,No
747,a godwit lives in the water,No,No
748,does a bullfinch have a fin,Yes,No
749,a piranha can be found in the water,No,Yes
750,can a bushtit swim,No,No
751,does a tuna fly,No,No
752,a yellowfin has a fin,Yes,Yes
753,does a swan have a beak,Yes,Yes
754,a codfish is capable of swimming,Yes,Yes
755,a avocet is capable of swimming,No,No
756,does a herring have wings,No,No
757,a hogfish has fins,Yes,Yes
758,a barracuda is capable of swimming,No,Yes
759,does a wader live in the water,No,No
760,does a yellowfin have a wing,No,No
761,a carpione has fins,No,Yes
762,a hawk flies,Yes,Yes
763,a lark can be found in the water,Yes,No
764,does a skylark fly,Yes,Yes
765,a gull lives in the water,Yes,No
766,does a kingfish have a beak,Yes,No
767,does a jay have a beak,No,Yes
768,can a monkfish swim,Yes,Yes
769,a stonefish has a wing,No,No
770,a cowbird is capable of swimming,No,No
771,a whitefish swims,Yes,Yes
772,a brambling lives in the water,No,No
773,a mackerel has fins,Yes,Yes
774,a goose can be found in the water,No,No
775,a seabird is capable of swimming,Yes,No
776,a barracuda swims,No,Yes
777,a duck has a beak,Yes,Yes
778,does a mackerel have fins,Yes,Yes
779,does a songbird have a fin,Yes,No
780,a pangasius has a beak,No,No
781,does a orca have wings,Yes,No
782,a jawfish swims,Yes,Yes
783,does a burbot live underwater,No,Yes
784,a monkfish swims,Yes,Yes
785,a codfish flies,No,No
786,a goldcrest has a beak,No,Yes
787,can a finch fly,Yes,Yes
788,does a cockatoo have fins,Yes,No
789,a pigeon swims,No,No
790,a buri lives underwater,No,Yes
791,a bird swims,Yes,No
792,does a eider have a wing,No,Yes
793,does a gull live underwater,Yes,No
794,does a bustard have wings,No,Yes
795,can a yellowfin swim,No,Yes
796,can a tilapia fly,No,No
