,question,model_answer,true_answer
143,Does a rhino live underwater?,No,No
144,A swan can breathe underwater.,Yes,No
145,Does a pinscher live underwater?,No,No
146,A elephant can breathe in the water.,Yes,No
147,A ox can breathe underwater.,Yes,No
148,A owl can breathe underwater.,Yes,No
149,Does a cat live underwater?,Yes,No
150,Does a ox live underwater?,Yes,No
151,Does a cuckoos live underwater?,Yes,No
152,Does a sheep can breathe underwater?,No,No
153,A bat lives underwater.,No,No
154,Does a ox can breathe underwater?,Yes,No
155,A quail can breathe in the water.,Yes,No
156,A rabbit can breathe underwater.,No,No
157,A wolf lives in the water.,No,No
158,A collie lives in the water.,No,No
159,Does a kangaroo can breathe underwater?,No,No
160,A chihuahua can breathe in the water.,No,No
161,Does a ape live underwater?,Yes,No
162,Does a beagle live underwater?,Yes,No
163,Does a corgi can breathe underwater?,Yes,No
164,Does a jaguar live underwater?,Yes,No
165,A spider can breathe in the water.,No,No
166,A snail can breathe in the water.,Yes,No
167,Does a worm can breathe underwater?,Yes,No
168,A bulldog can breathe in the water.,No,No
169,Does a duck can breathe underwater?,Yes,No
170,Does a cocker spaniel can breathe underwater?,No,No
171,A camel can breathe in the water.,No,No
172,A hummingbird can breathe in the water.,Yes,No
173,Does a doberman live underwater?,Yes,No
174,A camel can breathe underwater.,No,No
175,Does a doberman can breathe underwater?,Yes,No
176,Does a wolf can breathe underwater?,No,No
177,A fox lives in the water.,No,No
178,Does a boxer can breathe underwater?,No,No
179,Does a flamingo live underwater?,Yes,No
180,A husky lives underwater.,No,No
181,A bison can breathe underwater.,No,No
182,Does a elephant live underwater?,Yes,No
183,A chicken lives underwater.,No,No
184,A mouse lives in the water.,No,No
185,A spider lives underwater.,Yes,No
186,Does a schnauzer live underwater?,No,No
187,A ass can breathe in the water.,No,No
188,Does a flamingo can breathe underwater?,Yes,No
189,Does a alpaca can breathe underwater?,Yes,No
190,Does a hawk live underwater?,No,No
191,A doberman can breathe underwater.,Yes,No
192,A chihuahua lives in the water.,No,No
193,Does a bulldog live underwater?,No,No
194,A iguana lives in the water.,Yes,No
195,A wolf lives underwater.,No,No
196,A ape lives underwater.,Yes,No
197,Does a mule can breathe underwater?,Yes,No
198,Does a liger can breathe underwater?,No,No
199,A roaster can breathe underwater.,No,No
200,Does a ape can breathe underwater?,Yes,No
201,A roaster can breathe in the water.,No,No
202,A rat can breathe in the water.,No,No
203,A quail lives in the water.,Yes,No
204,A bulldog lives underwater.,No,No
205,A giraffe can breathe underwater.,No,No
206,A crow lives in the water.,No,No
207,Does a monkey live underwater?,Yes,No
208,A spider can breathe underwater.,Yes,No
209,A goat lives underwater.,No,No
210,A boxer can breathe underwater.,No,No
211,Does a roaster live underwater?,No,No
212,A mamba lives in the water.,No,No
213,A duck lives underwater.,Yes,No
214,A ostrich can breathe in the water.,No,No
215,A bulldog lives in the water.,No,No
216,A bat can breathe underwater.,No,No
217,Does a mouse can breathe underwater?,Yes,No
218,A flamingo lives in the water.,No,No
219,Does a ant live underwater?,Yes,No
220,A shrew lives in the water.,Yes,No
221,Does a corgi live underwater?,Yes,No
222,Does a bear can breathe underwater?,No,No
223,Does a sparrow live underwater?,Yes,No
224,A caterpillar lives in the water.,Yes,No
225,A sheep lives in the water.,Yes,No
226,A ape lives in the water.,No,No
227,A Aardvark can breathe underwater.,Yes,No
228,Does a jay live underwater?,Yes,No
229,A mouse lives underwater.,Yes,No
230,Does a lizard can breathe underwater?,Yes,No
231,A turkey can breathe in the water.,No,No
232,Does a hippo live underwater?,No,No
233,Does a hen live underwater?,No,No
234,A deer can breathe in the water.,No,No
235,A butterfly lives underwater.,Yes,No
236,A dalmatian lives underwater.,Yes,No
237,Does a hen can breathe underwater?,No,No
238,Does a leopard live underwater?,No,No
239,A hawk can breathe underwater.,No,No
240,A chicken can breathe underwater.,No,No
241,A rhino lives in the water.,No,No
242,A cow can breathe in the water.,Yes,No
243,A cockatoo lives underwater.,No,No
244,A chihuahua lives underwater.,No,No
245,A iguana lives underwater.,Yes,No
246,Does a dog can breathe underwater?,No,No
247,A goat can breathe underwater.,No,No
248,A tarantula lives underwater.,No,No
249,Does a donkey can breathe underwater?,No,No
250,Does a goat live underwater?,No,No
251,A hen lives underwater.,No,No
252,Does a cobra can breathe underwater?,No,No
253,A kangaroo can breathe underwater.,No,No
254,A ant can breathe in the water.,No,No
255,Does a parrot can breathe underwater?,No,No
256,A gorilla lives in the water.,No,No
257,A caracal can breathe in the water.,No,No
258,A swan lives in the water.,Yes,No
259,A gorilla lives underwater.,No,No
260,A rabbit can breathe in the water.,No,No
261,A bat can breathe in the water.,No,No
262,A labrador can breathe in the water.,No,No
263,A mamba can breathe underwater.,Yes,No
264,A lizard can breathe underwater.,Yes,No
265,Does a kangaroo live underwater?,No,No
266,Does a cocker spaniel live underwater?,No,No
267,A lizard lives underwater.,Yes,No
268,A beagle lives in the water.,No,No
269,Does a terrier live underwater?,No,No
270,A tiger can breathe in the water.,No,No
271,A pig lives in the water.,No,No
272,Does a cockatoo live underwater?,Yes,No
273,Does a moose can breathe underwater?,No,No
274,Does a husky live underwater?,Yes,No
275,A goat lives in the water.,No,No
276,A bird lives in the water.,Yes,No
277,Does a wolf live underwater?,No,No
278,A skunk can breathe underwater.,Yes,No
279,A lion can breathe underwater.,Yes,No
280,A ostrich can breathe underwater.,No,No
281,A songbird can breathe underwater.,No,No
282,A horse lives in the water.,No,No
283,Does a chihuahua live underwater?,No,No
284,Does a peacock can breathe underwater?,Yes,No
285,A cat can breathe in the water.,Yes,No
286,Does a beef live underwater?,No,No
287,A worm lives in the water.,Yes,No
288,A skunk lives in the water.,Yes,No
289,A elephant lives in the water.,No,No
290,A cat lives in the water.,Yes,No
291,A boa lives underwater.,Yes,No
292,Does a ant can breathe underwater?,Yes,No
293,A tarantula can breathe underwater.,Yes,No
294,A beef lives in the water.,No,No
295,A parrot lives in the water.,No,No
296,A pomeranian can breathe in the water.,Yes,No
297,A schnauzer can breathe in the water.,No,No
298,A rat lives underwater.,Yes,No
299,Does a tiger live underwater?,No,No
300,Does a collie can breathe underwater?,Yes,No
301,Does a pigeon live underwater?,Yes,No
302,Does a antelope can breathe underwater?,No,No
303,Does a snail can breathe underwater?,Yes,No
304,Does a bison can breathe underwater?,No,No
305,A cocker spaniel can breathe underwater.,No,No
306,A antelope lives underwater.,No,No
307,A mamba lives underwater.,Yes,No
308,A caracal lives in the water.,Yes,No
309,A terrier lives underwater.,No,No
310,Does a swan can breathe underwater?,Yes,No
311,A deer lives underwater.,No,No
312,Does a monkey can breathe underwater?,Yes,No
313,Does a moose live underwater?,No,No
314,A ox can breathe in the water.,No,No
315,A boxer lives in the water.,No,No
316,Does a baboon can breathe underwater?,Yes,No
317,A beef lives underwater.,No,No
318,A deer can breathe underwater.,No,No
319,A dog lives underwater.,No,No
320,Does a deer can breathe underwater?,No,No
321,A dalmatian lives in the water.,Yes,No
322,Does a turkey can breathe underwater?,No,No
323,Does a cow live underwater?,No,No
324,Does a chihuahua can breathe underwater?,No,No
325,Does a giraffe can breathe underwater?,No,No
326,Does a lizard live underwater?,Yes,No
327,A bird can breathe underwater.,Yes,No
328,Does a elephant can breathe underwater?,Yes,No
329,A monkey lives in the water.,No,No
330,A fox can breathe in the water.,No,No
331,A koala can breathe underwater.,Yes,No
332,A songbird lives in the water.,No,No
333,A sheep can breathe underwater.,No,No
334,A antelope can breathe underwater.,No,No
335,A grivet can breathe underwater.,No,No
336,A cobra lives underwater.,No,No
337,Does a tiger can breathe underwater?,No,No
338,Does a boxer live underwater?,No,No
339,Does a schnauzer can breathe underwater?,No,No
340,A elephant lives underwater.,No,No
341,Does a sparrow can breathe underwater?,Yes,No
342,Does a hawk can breathe underwater?,No,No
343,A moose lives in the water.,No,No
344,Does a tarantula live underwater?,Yes,No
345,A duck lives in the water.,Yes,No
346,A pomeranian lives underwater.,Yes,No
347,Does a cow can breathe underwater?,No,No
348,A doberman lives underwater.,Yes,No
349,A mule can breathe in the water.,Yes,No
350,Does a roaster can breathe underwater?,No,No
351,Does a songbird live underwater?,No,No
352,Does a bat live underwater?,No,No
353,Does a butterfly live underwater?,Yes,No
354,A jay lives underwater.,Yes,No
355,Does a butterfly can breathe underwater?,Yes,No
356,A fox lives underwater.,No,No
357,A turkey lives in the water.,No,No
358,A tiger can breathe underwater.,No,No
359,A liger can breathe underwater.,No,No
360,A eagle lives in the water.,No,No
361,A dove can breathe in the water.,No,No
362,Does a cat can breathe underwater?,Yes,No
363,Does a pig live underwater?,No,No
364,A dove lives in the water.,No,No
365,Does a goat can breathe underwater?,No,No
366,A cocker spaniel lives underwater.,No,No
367,A rat can breathe underwater.,Yes,No
368,Does a caterpillar live underwater?,Yes,No
369,Does a bear live underwater?,No,No
370,Does a eagle can breathe underwater?,No,No
371,A collie can breathe underwater.,No,No
372,A leopard can breathe underwater.,No,No
373,A quail lives underwater.,Yes,No
374,A eagle can breathe underwater.,No,No
375,A jay can breathe in the water.,Yes,No
376,A horse can breathe in the water.,No,No
377,A pinscher lives in the water.,No,No
378,A crow lives underwater.,Yes,No
379,Does a penguin can breathe underwater?,Yes,No
380,Does a cockatoo can breathe underwater?,Yes,No
381,A pinscher can breathe in the water.,No,No
382,Does a rat can breathe underwater?,Yes,No
383,A antelope lives in the water.,No,No
384,Does a pinscher can breathe underwater?,No,No
385,Does a shrew live underwater?,Yes,No
386,Does a koala live underwater?,Yes,No
387,A swan lives underwater.,Yes,No
388,A butterfly can breathe in the water.,Yes,No
389,A kangaroo lives underwater.,No,No
390,A ostrich lives in the water.,No,No
391,A worm can breathe underwater.,Yes,No
392,A hawk lives underwater.,No,No
393,A jaguar can breathe in the water.,No,No
394,A bull lives underwater.,No,No
395,A bull lives in the water.,No,No
396,A cuckoos lives in the water.,No,No
397,A ass lives underwater.,No,No
398,A cow lives in the water.,No,No
399,A turkey lives underwater.,No,No
400,A collie can breathe in the water.,No,No
401,A ass can breathe underwater.,No,No
402,A alpaca lives underwater.,Yes,No
403,A mouse can breathe underwater.,Yes,No
404,A penguin can breathe underwater.,Yes,No
405,A tarantula can breathe in the water.,No,No
406,A pig can breathe underwater.,No,No
407,A raccoon lives in the water.,No,No
408,A flamingo lives underwater.,Yes,No
409,A bison lives underwater.,No,No
410,A mule lives underwater.,Yes,No
411,A tiger lives underwater.,No,No
412,A mouse can breathe in the water.,No,No
413,A koala lives underwater.,Yes,No
414,A donkey lives in the water.,No,No
415,Does a mamba can breathe underwater?,Yes,No
416,A corgi can breathe underwater.,Yes,No
417,A boa can breathe underwater.,Yes,No
418,Does a gorilla live underwater?,No,No
419,Does a songbird can breathe underwater?,Yes,No
420,Does a zebra live underwater?,No,No
421,Does a spider live underwater?,Yes,No
422,A rabbit lives underwater.,No,No
423,A hippo can breathe in the water.,No,No
424,A pigeon can breathe underwater.,Yes,No
425,A antelope can breathe in the water.,No,No
426,Does a bull live underwater?,No,No
427,A owl lives in the water.,No,No
428,Does a horse can breathe underwater?,No,No
429,A bear can breathe in the water.,No,No
430,A duck can breathe in the water.,Yes,No
431,Does a dalmatian live underwater?,Yes,No
432,A wolf can breathe underwater.,No,No
433,A corgi lives underwater.,No,No
434,A leopard lives in the water.,No,No
435,A cat lives underwater.,No,No
436,A zebra lives in the water.,No,No
437,Does a horse live underwater?,No,No
438,A boxer lives underwater.,No,No
439,A caracal lives underwater.,Yes,No
440,Does a peacock live underwater?,Yes,No
441,Does a bison live underwater?,No,No
442,Does a turkey live underwater?,No,No
443,A worm can breathe in the water.,Yes,No
444,A moose can breathe in the water.,No,No
445,A roaster lives underwater.,No,No
446,A labrador lives in the water.,No,No
447,A hippo lives underwater.,No,No
448,Does a lion can breathe underwater?,Yes,No
449,A sparrow lives underwater.,No,No
450,A cuckoos lives underwater.,No,No
451,A wolf can breathe in the water.,Yes,No
452,A sparrow lives in the water.,No,No
453,A liger lives in the water.,No,No
454,A spider lives in the water.,No,No
455,A schnauzer lives underwater.,No,No
456,A parrot can breathe in the water.,No,No
457,A collie lives underwater.,No,No
458,A giraffe lives in the water.,No,No
459,A husky can breathe underwater.,Yes,No
460,A flamingo can breathe in the water.,No,No
461,Does a fox live underwater?,No,No
462,A pinscher can breathe underwater.,No,No
463,A iguana can breathe in the water.,No,No
464,A pigeon lives underwater.,No,No
465,A goat can breathe in the water.,No,No
466,A grivet lives in the water.,No,No
467,Does a rabbit can breathe underwater?,No,No
468,Does a alpaca live underwater?,Yes,No
469,Does a boa can breathe underwater?,Yes,No
470,Does a leopard can breathe underwater?,No,No
471,A giraffe lives underwater.,No,No
472,A alpaca can breathe in the water.,Yes,No
473,A dog can breathe underwater.,No,No
474,A hawk can breathe in the water.,No,No
475,Does a beagle can breathe underwater?,Yes,No
476,A beef can breathe in the water.,No,No
477,Does a raccoon live underwater?,Yes,No
478,A moose lives underwater.,No,No
479,A gorilla can breathe in the water.,No,No
480,A mule can breathe underwater.,Yes,No
481,Does a shrew can breathe underwater?,Yes,No
482,A sparrow can breathe underwater.,Yes,No
483,Does a zebra can breathe underwater?,Yes,No
484,A grivet lives underwater.,No,No
485,A schnauzer can breathe underwater.,No,No
486,A koala can breathe in the water.,Yes,No
487,Does a fox can breathe underwater?,No,No
488,Does a beef can breathe underwater?,No,No
489,A hippo can breathe underwater.,No,No
490,A fox can breathe underwater.,No,No
491,A pinscher lives underwater.,No,No
492,A terrier lives in the water.,No,No
493,A sheep lives underwater.,No,No
494,Does a koala can breathe underwater?,Yes,No
495,Does a Aardvark can breathe underwater?,Yes,No
496,A deer lives in the water.,No,No
497,Does a donkey live underwater?,No,No
498,Does a ostrich live underwater?,No,No
499,A donkey can breathe underwater.,No,No
500,Does a labrador can breathe underwater?,No,No
501,A chicken lives in the water.,No,No
502,Does a antelope live underwater?,No,No
503,A eagle can breathe in the water.,No,No
504,A boxer can breathe in the water.,No,No
505,A monkey lives underwater.,Yes,No
506,A pigeon can breathe in the water.,Yes,No
507,A flamingo can breathe underwater.,Yes,No
508,A jay can breathe underwater.,Yes,No
509,A donkey lives underwater.,No,No
510,Does a ass live underwater?,Yes,No
511,A camel lives underwater.,No,No
512,Does a quail can breathe underwater?,Yes,No
513,A sparrow can breathe in the water.,Yes,No
514,A zebra can breathe in the water.,No,No
515,Does a bat can breathe underwater?,No,No
516,A pigeon lives in the water.,No,No
517,A cobra can breathe in the water.,No,No
518,Does a penguin live underwater?,Yes,No
519,A jaguar can breathe underwater.,Yes,No
520,A baboon lives underwater.,No,No
521,A alpaca can breathe underwater.,Yes,No
522,A cat can breathe underwater.,Yes,No
523,A cuckoos can breathe underwater.,Yes,No
524,A hummingbird lives underwater.,No,No
525,Does a mamba live underwater?,Yes,No
526,A hippo lives in the water.,No,No
527,A beagle can breathe in the water.,No,No
528,A beagle lives underwater.,No,No
529,A ape can breathe in the water.,Yes,No
530,A bulldog can breathe underwater.,No,No
531,Does a spider can breathe underwater?,Yes,No
532,A cow lives underwater.,No,No
533,A butterfly can breathe underwater.,Yes,No
534,A eagle lives underwater.,No,No
535,Does a jay can breathe underwater?,Yes,No
536,A cuckoos can breathe in the water.,No,No
537,Does a parrot live underwater?,No,No
538,Does a hippo can breathe underwater?,No,No
539,A bull can breathe in the water.,No,No
540,A bear can breathe underwater.,No,No
541,A ape can breathe underwater.,Yes,No
542,A cocker spaniel can breathe in the water.,No,No
543,A penguin lives in the water.,Yes,No
544,Does a bird live underwater?,Yes,No
545,Does a ostrich can breathe underwater?,No,No
546,A corgi can breathe in the water.,No,No
547,A shrew can breathe underwater.,Yes,No
548,A hen can breathe in the water.,No,No
549,A lion lives underwater.,Yes,No
550,Does a eagle live underwater?,Yes,No
551,A ant can breathe underwater.,Yes,No
552,Does a boa live underwater?,Yes,No
553,A raccoon can breathe in the water.,No,No
554,A rhino can breathe underwater.,Yes,No
555,A rhino lives underwater.,No,No
556,A iguana can breathe underwater.,Yes,No
557,A dog can breathe in the water.,Yes,No
558,A leopard lives underwater.,No,No
559,Does a hummingbird live underwater?,Yes,No
560,A zebra lives underwater.,No,No
561,Does a chicken live underwater?,No,No
562,Does a grivet can breathe underwater?,No,No
563,A husky lives in the water.,No,No
564,Does a grivet live underwater?,No,No
565,Does a deer live underwater?,No,No
566,A jaguar lives underwater.,Yes,No
567,A labrador lives underwater.,No,No
568,A swan can breathe in the water.,Yes,No
569,A pomeranian can breathe underwater.,Yes,No
570,A ant lives in the water.,No,No
571,A skunk can breathe in the water.,Yes,No
572,A chicken can breathe in the water.,No,No
573,Does a caracal live underwater?,Yes,No
574,Does a camel can breathe underwater?,Yes,No
575,A giraffe can breathe in the water.,No,No
576,Does a crow live underwater?,Yes,No
577,A Aardvark lives underwater.,No,No
578,A lion can breathe in the water.,No,No
579,A labrador can breathe underwater.,No,No
580,A pomeranian lives in the water.,Yes,No
581,Does a pigeon can breathe underwater?,Yes,No
582,A peacock can breathe in the water.,No,No
583,Does a Aardvark live underwater?,Yes,No
584,A zebra can breathe underwater.,Yes,No
585,A crow can breathe in the water.,Yes,No
586,Does a liger live underwater?,No,No
587,A ant lives underwater.,Yes,No
588,A cockatoo lives in the water.,No,No
589,A jay lives in the water.,No,No
590,A monkey can breathe in the water.,Yes,No
591,A tiger lives in the water.,No,No
592,A caterpillar lives underwater.,Yes,No
593,A husky can breathe in the water.,No,No
594,A ox lives underwater.,No,No
595,A lion lives in the water.,No,No
596,A snail lives underwater.,Yes,No
597,A mamba can breathe in the water.,No,No
598,A bison can breathe in the water.,No,No
599,A cobra lives in the water.,No,No
