,question,label
206,fur is a body part of a herring,No
207,fur is part of herring's body,No
208,fur belongs to a herring,No
209,does a herring have fur?,No
210,does a kingfisher have fur,No
211,a kingfisher has fur,No
212,fur is a body part of a kingfisher,No
213,fur is part of kingfisher's body,No
214,fur belongs to a kingfisher,No
215,does a kingfisher have fur?,No
216,does a lobster have fur,No
217,a lobster has fur,No
218,fur is a body part of a lobster,No
219,fur is part of lobster's body,No
220,fur belongs to a lobster,No
221,does a lobster have fur?,No
222,does a oyster have fur,No
223,a oyster has fur,No
224,fur is a body part of a oyster,No
225,fur is part of oyster's body,No
226,fur belongs to a oyster,No
227,does a oyster have fur?,No
228,does a puma have fur,No
229,a puma has fur,No
230,fur is a body part of a puma,No
231,fur is part of puma's body,No
232,fur belongs to a puma,No
233,does a puma have fur?,No
234,does a piranha have fur,No
235,a piranha has fur,No
236,fur is a body part of a piranha,No
237,fur is part of piranha's body,No
238,fur belongs to a piranha,No
239,does a piranha have fur?,No
240,does a seal have fur,No
241,a seal has fur,No
242,fur is a body part of a seal,No
243,fur is part of seal's body,No
244,fur belongs to a seal,No
245,does a seal have fur?,No
246,does a shrimp have fur,No
247,a shrimp has fur,No
248,fur is a body part of a shrimp,No
249,fur is part of shrimp's body,No
250,fur belongs to a shrimp,No
251,does a shrimp have fur?,No
252,does a prawn have fur,No
253,a prawn has fur,No
254,fur is a body part of a prawn,No
255,fur is part of prawn's body,No
256,fur belongs to a prawn,No
257,does a prawn have fur?,No
258,does a starfish have fur,No
259,a starfish has fur,No
260,fur is a body part of a starfish,No
261,fur is part of starfish's body,No
262,fur belongs to a starfish,No
263,does a starfish have fur?,No
264,does a sponge have fur,No
265,a sponge has fur,No
266,fur is a body part of a sponge,No
267,fur is part of sponge's body,No
268,fur belongs to a sponge,No
269,does a sponge have fur?,No
270,does a whale have fur,No
271,a whale has fur,No
272,fur is a body part of a whale,No
273,fur is part of whale's body,No
274,fur belongs to a whale,No
275,does a whale have fur?,No
276,does a turkey have fur,No
277,a turkey has fur,No
278,fur is a body part of a turkey,No
279,fur is part of turkey's body,No
280,fur belongs to a turkey,No
281,does a turkey have fur?,No
282,does a swan have fur,No
283,a swan has fur,No
284,fur is a body part of a swan,No
285,fur is part of swan's body,No
286,fur belongs to a swan,No
287,does a swan have fur?,No
288,does a sparrow have fur,No
289,a sparrow has fur,No
290,fur is a body part of a sparrow,No
291,fur is part of sparrow's body,No
292,fur belongs to a sparrow,No
293,does a sparrow have fur?,No
294,does a songbird have fur,No
295,a songbird has fur,No
296,fur is a body part of a songbird,No
297,fur is part of songbird's body,No
298,fur belongs to a songbird,No
299,does a songbird have fur?,No
300,does a bird have fur,No
301,a bird has fur,No
302,fur is a body part of a bird,No
303,fur is part of bird's body,No
304,fur belongs to a bird,No
305,does a bird have fur?,No
306,does a eagle have fur,No
307,a eagle has fur,No
308,fur is a body part of a eagle,No
309,fur is part of eagle's body,No
310,fur belongs to a eagle,No
311,does a eagle have fur?,No
