,question,model_answer,true_answer
251,Does a seagull live underwater?,Yes,No
252,A caterpillar lives in the ocean.,No,No
253,A bear lives underwater.,No,No
254,A cobra lives in the water.,No,No
255,Does a alpaca live in the sea?,Yes,No
256,Does a giraffe live in the sea?,No,No
257,Does a cocker spaniel live underwater?,No,No
258,A tiger lives in the ocean.,No,No
259,A beef lives in the water.,No,No
260,Does a ox live in the water?,No,No
261,A doberman lives in the ocean.,Yes,No
262,A lizard lives in the water.,Yes,No
263,Does a raccoon live in the water?,No,No
264,Does a shrew live in the ocean?,Yes,No
265,A tiger lives underwater.,No,No
266,Does a rabbit live in the sea?,No,No
267,A worm lives in the ocean.,Yes,No
268,A boxer lives underwater.,No,No
269,Does a gibbon live in the ocean?,Yes,No
270,Does a tapir live in the ocean?,Yes,No
271,Does a falcon live in the ocean?,Yes,No
272,A chihuahua lives in the ocean.,No,No
273,A skunk lives underwater.,Yes,No
274,A owl lives underwater.,Yes,No
275,A koala lives in the ocean.,Yes,No
276,A kangaroo lives in the water.,No,No
277,Does a hyena live in the ocean?,No,No
278,Does a corgi live underwater?,Yes,No
279,A bat lives in the sea.,No,No
280,Does a kangaroo live in the sea?,No,No
281,A liger lives in the ocean.,No,No
282,Does a alligator live underwater?,Yes,No
283,Does a kangaroo live in the water?,No,No
284,Does a grivet live in the sea?,No,No
285,A rat lives in the ocean.,No,No
286,Does a corgi live in the sea?,Yes,No
287,Does a turkey live in the sea?,No,No
288,Does a alpaca live in the water?,Yes,No
289,Does a mamba live in the ocean?,Yes,No
290,A deer lives in the sea.,No,No
291,Does a bull live in the water?,No,No
292,A spider lives in the water.,No,No
293,A corgi lives underwater.,No,No
294,A leopard lives in the ocean.,No,No
295,Does a chicken live in the ocean?,No,No
296,A owl lives in the sea.,No,No
297,Does a boa live in the water?,Yes,No
298,Does a doberman live in the water?,Yes,No
299,Does a songbird live in the sea?,No,No
300,A mule lives in the water.,Yes,No
301,Does a donkey live in the sea?,No,No
302,A ape lives underwater.,Yes,No
303,A bulldog lives underwater.,No,No
304,A cocker spaniel lives in the water.,No,No
305,Does a donkey live in the water?,No,No
306,A caracal lives underwater.,Yes,No
307,Does a squirrel live in the ocean?,No,No
308,Does a yak live in the water?,Yes,No
309,A iguana lives in the water.,Yes,No
310,Does a gorilla live in the ocean?,No,No
311,Does a moose live in the ocean?,No,No
312,A mule lives in the sea.,Yes,No
313,A caracal lives in the sea.,Yes,No
314,A mouse lives in the water.,No,No
315,A labrador lives in the sea.,No,No
316,A cockatoo lives in the sea.,No,No
317,Does a zebra live in the water?,No,No
318,Does a roaster live in the water?,No,No
319,A rabbit lives in the water.,No,No
320,A bear lives in the sea.,No,No
321,Does a snail live underwater?,Yes,No
322,Does a yak live in the sea?,Yes,No
323,Does a ant live underwater?,Yes,No
324,Does a crocodile live in the water?,Yes,No
325,Does a tapir live underwater?,Yes,No
326,A fox lives in the ocean.,No,No
327,A jay lives in the sea.,Yes,No
328,A cobra lives underwater.,No,No
329,A songbird lives in the ocean.,No,No
330,Does a gibbon live in the sea?,Yes,No
331,Does a quail live underwater?,Yes,No
332,Does a beef live underwater?,No,No
333,Does a dalmatian live underwater?,Yes,No
334,Does a labrador live in the water?,No,No
335,Does a shrew live underwater?,Yes,No
336,Does a tapir live in the sea?,Yes,No
337,Does a duck live in the sea?,No,No
338,A caracal lives in the ocean.,Yes,No
339,Does a rottweiler live in the ocean?,No,No
340,A tapir lives underwater.,Yes,No
341,A ox lives in the water.,No,No
342,Does a dalmatian live in the ocean?,Yes,No
343,Does a salamander live in the sea?,Yes,No
344,Does a aardvark live in the water?,Yes,No
345,A cat lives underwater.,No,No
346,A cow lives in the sea.,No,No
347,Does a flamingo live in the ocean?,Yes,No
348,Does a dove live in the water?,No,No
349,Does a ant live in the water?,Yes,No
350,A bird lives in the sea.,Yes,No
351,Does a owl live underwater?,Yes,No
352,Does a hawk live in the ocean?,No,No
353,Does a roaster live in the ocean?,No,No
354,A terrier lives in the sea.,No,No
355,A shrew lives in the ocean.,Yes,No
356,Does a hummingbird live in the water?,Yes,No
357,Does a jay live underwater?,Yes,No
358,A skunk lives in the sea.,Yes,No
359,A squirrel lives in the water.,No,No
360,A hawk lives in the water.,No,No
361,Does a jaguar live in the ocean?,Yes,No
362,Does a duck live in the ocean?,No,No
363,Does a bison live in the sea?,No,No
364,Does a caracal live in the sea?,Yes,No
365,Does a schnauzer live in the water?,No,No
366,Does a terrier live underwater?,No,No
367,Does a elephant live in the sea?,No,No
368,A koala lives in the water.,Yes,No
369,Does a bulldog live in the water?,No,No
370,A ape lives in the sea.,Yes,No
371,Does a songbird live in the water?,No,No
372,Does a rabbit live in the water?,No,No
373,Does a butterfly live in the ocean?,Yes,No
374,Does a dalmatian live in the water?,Yes,No
375,A duck lives in the sea.,No,No
376,Does a pinscher live in the ocean?,No,No
377,Does a tapir live in the water?,No,No
378,A parrot lives underwater.,No,No
379,A turkey lives in the water.,No,No
380,A eagle lives underwater.,No,No
381,Does a chihuahua live in the sea?,No,No
382,Does a giraffe live in the water?,No,No
383,A chihuahua lives in the sea.,No,No
384,Does a wolf live in the sea?,No,No
385,A ant lives in the ocean.,Yes,No
386,A falcon lives underwater.,Yes,No
387,Does a bear live in the sea?,No,No
388,A dove lives in the sea.,No,No
389,A deer lives underwater.,No,No
390,Does a iguana live underwater?,Yes,No
391,A pinscher lives in the ocean.,No,No
392,A jaguar lives in the ocean.,Yes,No
393,Does a mamba live underwater?,Yes,No
394,Does a rat live in the ocean?,No,No
395,A cobra lives in the ocean.,No,No
396,Does a zebra live underwater?,No,No
397,A peacock lives in the sea.,No,No
398,A penguin lives in the water.,Yes,No
399,A leopard lives in the sea.,No,No
400,A snail lives underwater.,Yes,No
401,Does a grivet live in the water?,No,No
402,Does a ox live in the sea?,Yes,No
403,A hummingbird lives underwater.,No,No
404,A aardvark lives in the ocean.,No,No
405,Does a koala live in the ocean?,Yes,No
406,Does a hyena live in the water?,No,No
407,A ape lives in the ocean.,Yes,No
408,A hen lives underwater.,No,No
409,Does a penguin live underwater?,Yes,No
410,Does a flamingo live in the sea?,Yes,No
411,Does a snake live in the ocean?,Yes,No
412,Does a pig live in the ocean?,No,No
413,A alligator lives underwater.,Yes,No
414,A deer lives in the water.,No,No
415,A kangaroo lives in the ocean.,No,No
416,Does a roaster live in the sea?,No,No
417,A yak lives in the ocean.,Yes,No
418,A parrot lives in the water.,No,No
419,Does a crocodile live in the ocean?,Yes,No
420,A cow lives underwater.,No,No
421,Does a cockatoo live in the water?,No,No
422,Does a chicken live underwater?,No,No
423,Does a mouse live underwater?,Yes,No
424,A zebra lives in the ocean.,No,No
425,Does a hen live in the water?,No,No
426,A gorilla lives in the ocean.,No,No
427,Does a dalmatian live in the sea?,Yes,No
428,A rhino lives in the ocean.,No,No
429,Does a cuckoos live in the sea?,Yes,No
430,Does a lion live in the water?,No,No
431,A camel lives in the sea.,Yes,No
432,Does a owl live in the ocean?,Yes,No
433,Does a snail live in the sea?,Yes,No
434,Does a cat live in the sea?,No,No
435,A sheep lives in the sea.,No,No
436,Does a hawk live in the water?,No,No
437,A shrew lives in the water.,Yes,No
438,Does a rottweiler live underwater?,No,No
439,Does a worm live in the ocean?,Yes,No
440,A skunk lives in the water.,Yes,No
441,A fox lives in the sea.,No,No
442,Does a caracal live in the ocean?,Yes,No
443,A elephant lives in the water.,No,No
444,A rat lives in the sea.,No,No
445,A swan lives underwater.,Yes,No
446,Does a moose live in the sea?,No,No
447,A hummingbird lives in the sea.,No,No
448,Does a rat live in the water?,No,No
449,Does a flamingo live underwater?,Yes,No
450,A butterfly lives underwater.,Yes,No
451,Does a cocker spaniel live in the water?,No,No
452,A owl lives in the ocean.,No,No
453,A lizard lives in the ocean.,Yes,No
454,Does a salamander live in the water?,Yes,No
455,A bat lives in the water.,No,No
456,Does a rhino live in the sea?,No,No
457,Does a peacock live underwater?,Yes,No
458,A elephant lives in the ocean.,No,No
459,A salamander lives in the ocean.,Yes,No
460,Does a mule live underwater?,Yes,No
461,Does a giraffe live in the ocean?,No,No
462,A husky lives in the sea.,No,No
463,A lizard lives in the sea.,Yes,No
464,A alpaca lives underwater.,Yes,No
465,Does a ant live in the sea?,Yes,No
466,A leopard lives underwater.,No,No
467,A labrador lives underwater.,No,No
468,A elephant lives underwater.,No,No
469,Does a squirrel live underwater?,No,No
470,Does a mamba live in the water?,Yes,No
471,Does a corgi live in the ocean?,Yes,No
472,A spider lives in the ocean.,No,No
473,A boa lives in the water.,Yes,No
474,A beagle lives in the sea.,No,No
475,Does a labrador live in the ocean?,No,No
476,A lizard lives underwater.,Yes,No
477,A pelican lives in the sea.,Yes,No
478,A snake lives in the water.,Yes,No
479,A liger lives underwater.,No,No
480,Does a skunk live in the water?,Yes,No
481,A ass lives in the ocean.,No,No
482,A ox lives underwater.,No,No
483,A horse lives in the water.,No,No
484,A frog lives underwater.,Yes,No
485,Does a pinscher live in the sea?,No,No
486,Does a dog live in the water?,No,No
487,Does a iguana live in the water?,Yes,No
488,A terrier lives in the water.,No,No
489,Does a pigeon live underwater?,Yes,No
490,Does a frog live in the water?,Yes,No
491,A rottweiler lives underwater.,No,No
492,Does a antelope live in the water?,No,No
493,A aardvark lives in the water.,No,No
494,Does a crow live in the sea?,Yes,No
495,A tiger lives in the sea.,No,No
496,Does a pomeranian live in the ocean?,Yes,No
497,A fox lives in the water.,No,No
498,Does a dog live underwater?,No,No
499,A jaguar lives in the water.,No,No
500,A peacock lives underwater.,No,No
501,Does a rabbit live in the ocean?,No,No
502,A rottweiler lives in the water.,No,No
503,A mouse lives underwater.,Yes,No
504,A butterfly lives in the sea.,Yes,No
505,A terrier lives underwater.,No,No
506,A pomeranian lives in the sea.,Yes,No
507,Does a parrot live in the ocean?,No,No
508,A cockatoo lives in the ocean.,No,No
509,A pigeon lives in the water.,No,No
510,A squirrel lives underwater.,No,No
511,A flamingo lives in the water.,No,No
512,A bison lives in the ocean.,No,No
513,A bull lives underwater.,No,No
514,Does a alpaca live in the ocean?,Yes,No
515,A antelope lives in the ocean.,No,No
516,A beef lives underwater.,No,No
517,Does a cockatoo live underwater?,Yes,No
518,A donkey lives underwater.,No,No
519,A eagle lives in the ocean.,No,No
520,Does a quail live in the sea?,Yes,No
521,Does a sheep live in the water?,Yes,No
522,Does a beagle live in the ocean?,No,No
523,A bulldog lives in the ocean.,No,No
524,Does a moose live in the water?,No,No
525,Does a lion live underwater?,Yes,No
526,Does a doberman live underwater?,Yes,No
527,A schnauzer lives in the ocean.,No,No
528,Does a sparrow live in the water?,Yes,No
529,Does a gorilla live in the sea?,No,No
530,Does a seagull live in the sea?,Yes,No
531,A mule lives underwater.,Yes,No
532,A peacock lives in the water.,No,No
533,A moose lives in the water.,No,No
534,A owl lives in the water.,No,No
535,Does a penguin live in the ocean?,Yes,No
536,A duck lives in the water.,Yes,No
537,A rhino lives underwater.,No,No
538,A caterpillar lives in the sea.,No,No
539,Does a rottweiler live in the water?,No,No
540,Does a beagle live in the sea?,Yes,No
541,A wolf lives in the ocean.,No,No
542,A elephant lives in the sea.,No,No
543,Does a chihuahua live underwater?,No,No
544,A yak lives in the sea.,Yes,No
545,A butterfly lives in the water.,Yes,No
546,A rabbit lives in the ocean.,No,No
547,Does a hippopotamus live in the ocean?,No,No
548,A crocodile lives in the ocean.,Yes,No
549,A chicken lives in the ocean.,No,No
550,A bird lives underwater.,Yes,No
551,A dalmatian lives in the sea.,Yes,No
552,Does a songbird live in the ocean?,No,No
553,A worm lives underwater.,Yes,No
554,Does a ass live underwater?,Yes,No
555,Does a worm live in the water?,Yes,No
556,Does a fox live in the water?,No,No
557,Does a bison live in the water?,No,No
558,Does a turkey live in the water?,No,No
559,Does a ape live in the ocean?,Yes,No
560,Does a iguana live in the ocean?,Yes,No
561,Does a ostrich live in the water?,No,No
562,Does a leopard live underwater?,No,No
563,Does a squirrel live in the sea?,No,No
564,A boxer lives in the ocean.,No,No
565,Does a fox live in the ocean?,No,No
566,Does a jay live in the sea?,Yes,No
567,A camel lives in the water.,No,No
568,A chihuahua lives underwater.,No,No
569,A beagle lives in the water.,No,No
570,Does a giraffe live underwater?,No,No
571,Does a rat live underwater?,Yes,No
572,Does a jay live in the water?,No,No
573,Does a turkey live in the ocean?,No,No
574,A ostrich lives in the water.,No,No
575,A seagull lives in the ocean.,Yes,No
576,Does a aardvark live in the ocean?,No,No
577,Does a bulldog live underwater?,No,No
578,A jaguar lives underwater.,Yes,No
579,A sparrow lives in the sea.,Yes,No
580,A leopard lives in the water.,No,No
581,A corgi lives in the water.,No,No
582,A bird lives in the ocean.,Yes,No
583,Does a pomeranian live in the water?,Yes,No
584,Does a eagle live underwater?,Yes,No
585,Does a tiger live in the water?,No,No
586,Does a grivet live underwater?,No,No
587,Does a pinscher live in the water?,No,No
588,Does a snake live underwater?,Yes,No
589,A cocker spaniel lives underwater.,No,No
590,A husky lives in the water.,No,No
591,A gibbon lives in the ocean.,Yes,No
592,Does a hummingbird live underwater?,Yes,No
593,Does a hen live in the ocean?,No,No
594,A ant lives in the sea.,Yes,No
595,A snake lives underwater.,Yes,No
596,A bull lives in the water.,No,No
597,Does a lizard live in the sea?,Yes,No
598,Does a gorilla live underwater?,No,No
599,Does a salamander live underwater?,Yes,No
600,A labrador lives in the water.,No,No
601,A monkey lives in the sea.,Yes,No
602,A labrador lives in the ocean.,No,No
603,A husky lives underwater.,No,No
604,Does a mamba live in the sea?,Yes,No
605,A bat lives underwater.,No,No
606,A boa lives in the sea.,Yes,No
607,A raccoon lives in the sea.,No,No
608,Does a lizard live in the water?,Yes,No
609,Does a mouse live in the water?,No,No
610,Does a ostrich live in the ocean?,No,No
611,A crocodile lives in the water.,No,No
612,Does a rhino live underwater?,No,No
613,A cuckoos lives underwater.,No,No
614,A sparrow lives in the ocean.,No,No
615,Does a cobra live underwater?,No,No
616,A aardvark lives underwater.,Yes,No
617,Does a bird live in the ocean?,Yes,No
618,A antelope lives in the water.,No,No
619,A schnauzer lives in the water.,No,No
620,A donkey lives in the sea.,No,No
621,A roaster lives in the sea.,No,No
622,Does a hyena live in the sea?,No,No
623,A dove lives in the water.,No,No
624,A giraffe lives in the water.,No,No
625,Does a squirrel live in the water?,No,No
626,Does a ass live in the sea?,No,No
627,Does a cockatoo live in the ocean?,No,No
628,Does a fox live underwater?,No,No
629,A beagle lives underwater.,No,No
630,A snail lives in the water.,Yes,No
631,A ostrich lives in the ocean.,No,No
632,A bull lives in the ocean.,No,No
633,A pig lives in the water.,No,No
634,Does a snake live in the sea?,Yes,No
635,Does a bird live in the water?,Yes,No
636,Does a bat live underwater?,No,No
637,Does a collie live in the ocean?,No,No
638,Does a bear live underwater?,No,No
639,A goat lives in the sea.,No,No
640,A lion lives in the ocean.,Yes,No
641,A shrew lives in the sea.,Yes,No
642,Does a pinscher live underwater?,No,No
643,Does a crocodile live underwater?,Yes,No
644,Does a camel live underwater?,Yes,No
645,A boa lives in the ocean.,Yes,No
646,Does a owl live in the water?,Yes,No
647,A bull lives in the sea.,No,No
648,Does a boxer live in the sea?,No,No
649,Does a goat live underwater?,No,No
650,A cuckoos lives in the ocean.,Yes,No
651,Does a butterfly live underwater?,Yes,No
652,Does a leopard live in the ocean?,No,No
653,Does a schnauzer live underwater?,No,No
654,Does a butterfly live in the sea?,Yes,No
655,A hippopotamus lives underwater.,No,No
656,Does a antelope live in the ocean?,No,No
657,Does a grivet live in the ocean?,No,No
658,Does a eagle live in the ocean?,No,No
659,Does a beef live in the sea?,No,No
660,Does a aardvark live underwater?,Yes,No
661,Does a raccoon live underwater?,Yes,No
662,A pig lives underwater.,No,No
663,A ox lives in the ocean.,Yes,No
664,Does a koala live in the water?,Yes,No
665,A corgi lives in the ocean.,Yes,No
666,A cockatoo lives underwater.,No,No
667,Does a collie live underwater?,Yes,No
668,A salamander lives in the sea.,Yes,No
669,A yak lives in the water.,No,No
670,A alpaca lives in the ocean.,Yes,No
671,A hen lives in the water.,No,No
672,A squirrel lives in the ocean.,No,No
673,Does a tiger live in the sea?,No,No
674,Does a dove live underwater?,Yes,No
675,A hawk lives underwater.,No,No
676,Does a swan live in the ocean?,Yes,No
677,A penguin lives in the ocean.,Yes,No
678,Does a boxer live underwater?,No,No
679,Does a beagle live in the water?,No,No
680,A giraffe lives in the sea.,No,No
681,A tarantula lives in the water.,No,No
682,A spider lives in the sea.,No,No
683,Does a lizard live underwater?,Yes,No
684,Does a tarantula live in the sea?,Yes,No
685,Does a koala live in the sea?,Yes,No
686,Does a dove live in the ocean?,No,No
687,Does a pomeranian live in the sea?,Yes,No
688,A koala lives underwater.,Yes,No
689,A liger lives in the water.,No,No
690,A moose lives underwater.,No,No
691,Does a dog live in the sea?,No,No
692,Does a sparrow live in the ocean?,Yes,No
693,Does a skunk live underwater?,Yes,No
694,Does a elephant live in the water?,No,No
695,A horse lives underwater.,No,No
696,A salamander lives underwater.,No,No
697,Does a sheep live in the sea?,Yes,No
698,A rottweiler lives in the sea.,No,No
699,A grivet lives in the ocean.,No,No
700,A ostrich lives underwater.,No,No
701,Does a pigeon live in the sea?,Yes,No
702,Does a moose live underwater?,No,No
703,Does a ox live in the ocean?,Yes,No
704,Does a elephant live in the ocean?,No,No
705,Does a spider live in the water?,Yes,No
706,Does a corgi live in the water?,No,No
707,Does a flamingo live in the water?,No,No
708,Does a husky live in the sea?,No,No
709,Does a pelican live underwater?,Yes,No
710,A pelican lives in the water.,Yes,No
711,Does a hummingbird live in the ocean?,No,No
712,Does a husky live in the ocean?,No,No
713,Does a kangaroo live underwater?,No,No
714,Does a hippopotamus live in the water?,No,No
715,A salamander lives in the water.,Yes,No
716,A wolf lives in the sea.,No,No
717,A donkey lives in the water.,No,No
718,A snail lives in the ocean.,Yes,No
719,A baboon lives in the ocean.,No,No
720,Does a schnauzer live in the ocean?,No,No
721,Does a caterpillar live in the sea?,No,No
722,A husky lives in the ocean.,No,No
723,Does a tiger live in the ocean?,No,No
724,A mouse lives in the ocean.,No,No
725,Does a seagull live in the ocean?,Yes,No
726,Does a crow live underwater?,Yes,No
727,Does a cobra live in the ocean?,No,No
728,A lion lives in the water.,No,No
729,Does a donkey live underwater?,No,No
730,Does a beef live in the ocean?,No,No
731,Does a cat live in the water?,Yes,No
732,Does a koala live underwater?,Yes,No
